,Baseline CNN,Baseline CNN,Baseline CNN,Regularized CNN,Regularized CNN,Regularized CNN,Δ F1
,precision,recall,f1-score,precision,recall,f1-score,reg − base
T-shirt/top,0.8756371049949032,0.859,0.867238768298839,0.8767395626242545,0.882,0.8793619142572283,0.01212314595838937
Trouser,0.991,0.991,0.991,0.9959390862944163,0.981,0.9884130982367758,-0.002586901763224181
Pullover,0.8262826282628263,0.918,0.8697299857887257,0.8584905660377359,0.91,0.883495145631068,0.013765159842342278
Dress,0.9305699481865285,0.898,0.9139949109414758,0.9185475956820413,0.936,0.9271916790490342,0.013196768107558432
Coat,0.8425047438330171,0.888,0.8646543330087634,0.8560606060606061,0.904,0.8793774319066148,0.014723098897851394
Sandal,0.9860279441117764,0.988,0.987012987012987,0.9938775510204082,0.974,0.9838383838383838,-0.0031746031746031633
Shirt,0.8043478260869565,0.703,0.7502668089647813,0.8107183580387686,0.711,0.7575919019712307,0.007325093006449457
Sneaker,0.956989247311828,0.979,0.967869500741473,0.9435406698564593,0.986,0.9643031784841076,-0.0035663222573654174
Bag,0.9792490118577075,0.991,0.9850894632206759,0.9899193548387096,0.982,0.9859437751004017,0.0008543118797257332
Ankle boot,0.9826175869120655,0.961,0.9716885743174924,0.9816326530612245,0.962,0.9717171717171718,2.8597399679308744e-05
