,Baseline CNN,Regularized CNN,Δ (reg − base)
params,824458.0,825162.0,704.0
best epoch (val),9.0,11.0,2.0
train acc @best,0.96182,0.92672,-0.03510000000000002
val acc @best,0.9256,0.9269,0.0012999999999999678
min val loss,0.21857756278514862,0.1982107502222061,-0.02036681256294251
final-epoch val loss,0.2735545135498047,0.20168176381587982,-0.07187274973392488
test loss,0.25435436120033267,0.21791078248023987,-0.036443578720092795
test acc,0.9176,0.9228,0.005199999999999982
test macro-F1,0.9168545332295214,0.9221233680192018,0.005268834789680432
generalisation gap (train-test acc),0.04422000000000004,0.003920000000000035,-0.0403
mean epoch time (s),7.462441265583038,11.174970626831055,3.7125293612480164
